clients,orders,restaurants,deliverymen,cpu_jason,memory_jason,time_jason,cpu_jade,memory_jade,time_jade,cpu_astra,memory_astra,time_astra
200.0,10.0,25.0,,31.125925925925927,14.625925925925927,28.0,,,,,,
200.0,10.0,50.0,,34.229629629629635,14.603703703703705,28.0,,,,,,
1.0,1.0,1.0,100.0,11.15,10.350000000000001,3.0,4.861538461538462,9.892307692307693,14.0,0.0,0.0,0.0
1.0,1.0,10.0,100.0,11.600000000000001,10.4,3.0,4.9692307692307685,10.023076923076925,14.0,0.0,0.0,0.0
1.0,1.0,25.0,100.0,14.7,10.45,3.0,4.9692307692307685,10.007692307692308,14.0,0.0,0.0,0.0
1.0,1.0,50.0,100.0,6.1375,10575,9.0,5.761538461538462,10.092307692307692,14.0,0.0,0.0,0.0
1.0,5.0,1.0,100.0,6.766666666666667,10.450000000000001,7.0,6.061538461538461,9.992307692307692,14.0,0.0,0.0,0.0
1.0,5.0,10.0,100.0,6.316666666666666,10.4,7.0,6.3307692307692305,10.0,14.0,0.0,0.0,0.0
1.0,5.0,25.0,100.0,4.336363636363636,10.545454545454545,12.0,6.507692307692308,10.092307692307692,14.0,0.0,0.0,0.0
1.0,5.0,50.0,100.0,4.990909090909091,10.645454545454545,12.0,6.446153846153846,10.092307692307692,14.0,0.0,0.0,0.0
1.0,10.0,1.0,100.0,2.8272727272727276,10.454545454545455,12.0,6.8076923076923075,9.992307692307692,14.0,0.0,0.0,0.0
1.0,10.0,10.0,100.0,4.327272727272727,10.518181818181818,12.0,6.761538461538462,10.099999999999998,14.0,0.0,0.0,0.0
1.0,10.0,25.0,100.0,3.123529411764706,10.641176470588235,18.0,7.1923076923076925,10.13076923076923,14.0,0.0,0.0,0.0
1.0,10.0,50.0,100.0,4.58421052631579,8.126315789473685,20.0,6.9,10.492307692307692,14.0,0.0,0.0,0.0
50.0,1.0,1.0,100.0,28.099999999999998,7.699999999999999,3.0,6.568181818181818,10.595454545454546,23.0,0.0,0.0,0.0
50.0,1.0,10.0,100.0,11.370000000000001,8.36,11.0,6.134782608695652,10.930434782608696,24.0,0.0,0.0,0.0
50.0,1.0,25.0,100.0,9.976923076923075,8.63076923076923,14.0,6.665217391304348,10.9,24.0,0.0,0.0,0.0
50.0,1.0,50.0,100.0,10.861538461538462,8.776923076923076,14.0,7.126086956521739,11.291304347826086,24.0,0.0,0.0,0.0
50.0,5.0,1.0,100.0,20.666666666666668,8.416666666666666,7.0,6.602325581395348,10.865116279069769,44.0,0.0,0.0,0.0
50.0,5.0,10.0,100.0,13.146666666666667,9.766666666666667,16.0,8.123255813953488,14.909302325581395,44.0,0.0,0.0,0.0
50.0,5.0,25.0,100.0,14.16,9.766666666666667,16.0,8.88139534883721,16.158139534883723,44.0,0.0,0.0,0.0
50.0,5.0,50.0,100.0,16.214285714285715,10.085714285714285,15.0,9.232558139534884,15.216279069767443,44.0,0.0,0.0,0.0
50.0,10.0,1.0,100.0,16.963636363636365,9.327272727272726,12.0,7.479411764705882,10.889705882352942,69.0,0.0,0.0,0.0
50.0,10.0,10.0,100.0,14.152631578947368,11.121052631578948,20.0,9.45735294117647,17.96323529411765,69.0,0.0,0.0,0.0
50.0,10.0,25.0,100.0,13.486363636363636,11.686363636363637,23.0,9.85735294117647,18.53235294117647,69.0,0.0,0.0,0.0
50.0,10.0,50.0,100.0,18.352631578947367,11.405263157894737,20.0,10.600000000000001,18.61764705882353,69.0,0.0,0.0,0.0
100.0,1.0,1.0,100.0,16.25,8.739999999999998,11.0,7.9818181818181815,11.496969696969696,34.0,0.0,0.0,0.0
100.0,1.0,10.0,100.0,13.358333333333334,8.983333333333333,13.0,7.754545454545455,11.821212121212122,34.0,0.0,0.0,0.0
100.0,1.0,25.0,100.0,13.966666666666667,9.241666666666667,13.0,8.433333333333334,13.142424242424243,34.0,0.0,0.0,0.0
100.0,1.0,50.0,100.0,18175,9.791666666666666,13.0,9.212121212121213,11.06969696969697,34.0,0.0,0.0,0.0
100.0,5.0,1.0,100.0,15.766666666666667,11.54,16.0,2.4123287671232876,6.957534246575342,74.0,0.0,0.0,0.0
100.0,5.0,10.0,100.0,19.74285714285714,11.549999999999999,15.0,3.4068493150684933,13.184931506849315,74.0,0.0,0.0,0.0
100.0,5.0,25.0,100.0,21.01875,11.96875,17.0,3.6575342465753424,13.486301369863014,74.0,0.0,0.0,0.0
100.0,5.0,50.0,100.0,21.98235294117647,12.723529411764707,18.0,4.3810810810810805,13.597297297297297,75.0,0.0,0.0,0.0
100.0,10.0,1.0,100.0,17.69047619047619,13.19047619047619,22.0,1.8556451612903226,9.69516129032258,125.0,0.0,0.0,0.0
100.0,10.0,10.0,100.0,19.419999999999998,12.370000000000001,21.0,3.918548387096774,14.341129032258063,125.0,0.0,0.0,0.0
100.0,10.0,25.0,100.0,20.731818181818184,13.468181818181819,23.0,6.120161290322581,14.80241935483871,125.0,0.0,0.0,0.0
100.0,10.0,50.0,100.0,24.49090909090909,13.709090909090907,23.0,6.2063492063492065,14.903968253968255,127.0,0.0,0.0,0.0
200.0,1.0,1.0,,17.688888888888886,9.777777777777779,10.0,,,,,,
200.0,1.0,10.0,,15.553846153846154,10.323076923076922,14.0,,,,,,
200.0,1.0,25.0,,19.046153846153846,11.538461538461538,14.0,,,,,,
200.0,1.0,50.0,,22.146153846153847,11.784615384615384,14.0,,,,,,
200.0,5.0,1.0,,19.133333333333333,14.00952380952381,22.0,,,,,,
200.0,5.0,10.0,,26.438888888888886,13.966666666666667,19.0,,,,,,
200.0,5.0,25.0,,30.65555555555555,14.033333333333333,19.0,,,,,,
200.0,5.0,50.0,,34.30555555555556,13.961111111111112,19.0,,,,,,
200.0,10.0,1.0,,26.43913043478261,14.178260869565218,24.0,,,,,,
200.0,10.0,10.0,,30.05454545454546,14.145454545454545,23.0,,,,,,
200.0,10.0,25.0,,33.05384615384615,14.623076923076923,27.0,,,,,,
200.0,10.0,50.0,,35.67407407407408,14.82962962962963,28.0,,,,,,
