clients,orders,restaurants,cpu_jason,memory_jason,time_jason,cpu_jade,memory_jade,time_jade,cpu_astra,memory_astra,time_astra
1.0,1.0,1.0,28.0,6.6,3.0,4.953846153846154,5.976923076923077,14.0,29.85,6.9,3.0
1.0,1.0,10.0,15.566666666666668,9.6,7.0,1.1538461538461537,5.5,14.0,32.05,6.95,3.0
1.0,1.0,25.0,21.6,6.5,3.0,1.3615384615384616,5.507692307692308,14.0,30.95,7.0,3.0
1.0,1.0,50.0,17.533333333333335,10.0,7.0,1.5,5.623076923076923,14.0,31.5,7.0,3.0
1.0,3.0,1.0,16.55,6.550000000000001,3.0,1.1384615384615384,5.5,14.0,29.35,7.0,3.0
1.0,3.0,10.0,19.45,6.449999999999999,3.0,1.2538461538461538,5.515384615384615,14.0,28.450000000000003,7.0,3.0
1.0,3.0,25.0,16.5,9.633333333333333,7.0,1.4769230769230768,5.538461538461538,14.0,29.200000000000003,7.05,3.0
1.0,3.0,50.0,17.633333333333333,9.983333333333333,7.0,1.376923076923077,5.6692307692307695,14.0,29.4,7.1,3.0
1.0,5.0,1.0,15.166666666666666,9.0,7.0,1.0384615384615385,5.5,14.0,28.9,7.1,3.0
1.0,5.0,10.0,15.616666666666667,9.5,7.0,1.1153846153846154,5.538461538461538,14.0,28.7,7.1,3.0
1.0,5.0,25.0,17.0,9.799999999999999,7.0,1.2153846153846155,5.538461538461538,14.0,30.700000000000003,7.15,3.0
1.0,5.0,50.0,17.116666666666667,9.966666666666667,7.0,1.2846153846153845,5.676923076923076,14.0,28.65,7.1,3.0
1.0,10.0,1.0,17.15,6.6,3.0,1.0,5.5,14.0,29.55,7.1,3.0
1.0,10.0,10.0,16.349999999999998,9.766666666666667,7.0,1.1153846153846154,5.5,14.0,33.0,7.15,3.0
1.0,10.0,25.0,16.783333333333335,9.666666666666666,7.0,1.2230769230769232,5.576923076923077,14.0,29.45,7.15,3.0
1.0,10.0,50.0,17.900000000000002,10.0,7.0,1.4538461538461538,5.676923076923076,14.0,29.433333333333334,7.333333333333333,4.0
25.0,1.0,1.0,26.75,11.049999999999999,7.0,1.24,5.666666666666667,16.0,28.95,7.2,3.0
25.0,1.0,10.0,51.4,11.766666666666666,7.0,1.2866666666666666,5.673333333333333,16.0,29.35,7.25,3.0
25.0,1.0,25.0,63.71666666666667,11.466666666666667,7.0,1.3466666666666667,5.7733333333333325,16.0,29.5,7.3,3.0
25.0,1.0,50.0,83.68333333333332,11.666666666666666,7.0,1.5,5.873333333333334,16.0,29.15,7.3,3.0
25.0,3.0,1.0,40.1,11.1,7.0,1.2333333333333334,5.766666666666667,16.0,29.7,7.25,3.0
25.0,3.0,10.0,79.45,11.700000000000001,7.0,1.34,5.78,16.0,28.75,7.25,3.0
25.0,3.0,25.0,82.63333333333334,11.683333333333332,7.0,1.4666666666666666,5.826666666666667,16.0,33.333333333333336,7.466666666666666,4.0
25.0,3.0,50.0,82.9,11.700000000000001,7.0,1.4333333333333333,5.886666666666668,16.0,34.333333333333336,7.599999999999999,4.0
25.0,5.0,1.0,68.51666666666667,11.783333333333333,7.0,1.3933333333333335,5.76,16.0,32.849999999999994,7.3,3.0
25.0,5.0,10.0,83.35000000000001,11.716666666666667,7.0,1.4333333333333333,5.793333333333334,16.0,30.7,7.3,3.0
25.0,5.0,25.0,83.01666666666667,11.700000000000001,7.0,1.4400000000000002,5.886666666666668,16.0,34.56666666666667,7.566666666666666,4.0
25.0,5.0,50.0,83.26666666666667,11.666666666666666,7.0,1.5933333333333333,5.973333333333333,16.0,37.833333333333336,7.666666666666667,4.0
25.0,10.0,1.0,42.0,11.299999999999999,7.0,1.48,5.866666666666666,16.0,28.8,7.4,3.0
25.0,10.0,10.0,83.05,11.733333333333334,7.0,1.3733333333333335,5.873333333333334,16.0,34.733333333333334,6.033333333333334,4.0
25.0,10.0,25.0,82.86666666666666,11.666666666666666,7.0,1.6400000000000001,6.066666666666666,16.0,39.233333333333334,5.833333333333333,4.0
25.0,10.0,50.0,84.38333333333334,11.683333333333332,7.0,1.8266666666666669,6.3,16.0,38.96666666666667,5.900000000000001,4.0
50.0,1.0,1.0,55.900000000000006,6.6,3.0,2.847058823529412,6.476470588235294,18.0,30.3,5.6,3.0
50.0,1.0,10.0,83.64999999999999,11.233333333333334,7.0,1.7000000000000002,6.4944444444444445,19.0,31.200000000000003,5.6,3.0
50.0,1.0,25.0,82.86666666666666,10.9,7.0,1.5411764705882351,6.541176470588235,18.0,32.0,5.866666666666667,4.0
50.0,1.0,50.0,83.64999999999999,11.083333333333334,7.0,1.5055555555555555,6.783333333333334,19.0,33.46666666666667,5.8999999999999995,4.0
50.0,3.0,1.0,50.949999999999996,11.450000000000001,7.0,1.4176470588235295,6.4941176470588236,18.0,31.46666666666667,5.866666666666667,4.0
50.0,3.0,10.0,83.03333333333333,11.283333333333333,7.0,1.488888888888889,6.655555555555555,19.0,36.333333333333336,5.8999999999999995,4.0
